x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32
89,113,126,149,107,98,121,143,198,220,231,154,154,154,143,110,132,33,44,66,77,66,77,77,77,66,77,55,66,55,22,11
89,114,137,52,43,55,22,33,66,77,44,22,11,55,66,55,77,77,77,66,77,55,55,44,55,44,33,55,77,66,44,22
89,90,124,147,148,127,150,228,229,208,99,88,121,110,99,176,264,286,308,297,308,385,385,385,385,385,363,385,352,385,385,451
89,35,49,18,30,20,65,77,77,77,55,77,77,44,77,77,77,77,66,77,55,66,44,66,55,77,77,66,44,77,77,44
89,79,102,125,94,95,118,86,98,88,132,154,110,176,275,308,286,308,297,308,385,385,330,385,352,319,341,363,385,385,308,275
89,112,136,105,128,119,142,110,121,187,176,187,88,121,143,132,154,154,154,77,77,55,77,77,33,44,66,77,77,55,22,44
89,145,125,149,74,75,65,77,44,33,44,11,33,11,33,44,66,44,55,77,44,11,44,22,33,55,33,55,66,44,55,77
89,103,7,30,20,54,77,44,22,44,22,11,33,11,66,11,55,77,33,22,22,33,11,22,22,33,55,44,66,77,55,77
89,190,246,302,303,305,306,296,352,363,374,385,385,341,253,242,275,330,319,330,341,374,429,330,242,275,253,264,374,385,385,308
89,112,92,82,193,227,228,229,230,231,308,308,385,286,308,231,308,308,308,286,275,297,385,385,385,286,275,253,341,385,440,374
89,13,3,37,16,28,8,20,65,55,22,44,55,77,77,77,77,77,44,77,44,55,66,77,77,33,55,22,44,66,77,77
89,2,25,4,16,28,19,54,33,55,44,66,77,77,77,77,77,33,77,77,66,77,77,44,77,55,44,77,77,77,44,11
89,101,124,72,63,76,44,11,22,44,22,11,55,77,77,77,77,44,55,77,77,66,44,66,77,77,66,11,44,22,55,44
89,168,180,271,261,285,308,275,319,286,264,297,385,385,297,308,286,308,286,253,363,385,385,385,308,385,451,385,341,374,286,308
89,90,92,137,116,63,75,54,33,22,44,22,77,77,44,77,77,77,55,77,33,11,33,11,44,33,22,55,77,55,77,44
89,24,37,72,73,63,42,32,22,11,22,55,77,77,22,22,66,77,66,33,11,33,22,33,44,77,77,77,77,77,77,55
89,102,125,148,149,150,140,108,54,77,77,66,44,33,44,66,77,77,77,77,77,77,77,77,55,33,77,55,22,22,33,44
89,91,127,150,96,53,76,55,44,66,77,77,44,33,55,11,33,55,33,44,33,44,66,77,55,44,55,22,55,77,55,66
89,124,92,115,140,152,54,77,66,77,77,55,33,11,44,11,33,55,44,22,11,33,11,44,33,44,33,22,44,77,66,66
89,145,148,94,85,109,132,154,132,110,132,110,99,143,231,209,231,231,231,231,308,286,385,308,286,275,253,319,330,264,275,242
89,90,81,93,129,152,153,154,154,154,154,154,154,154,143,121,110,132,44,11,44,22,22,55,66,44,77,77,66,44,55,33
89,90,104,116,107,53,43,33,22,11,44,55,77,55,33,66,33,55,44,55,33,22,33,44,66,44,22,33,55,33,55,77
89,92,106,141,109,132,198,231,308,275,374,363,341,440,341,297,275,286,308,308,308,297,363,385,363,352,330,352,374,341,363,385
89,25,4,38,72,51,41,10,22,33,22,44,11,22,55,44,33,11,44,11,22,22,11,33,44,77,33,66,55,44,55,66
89,103,93,83,107,86,109,110,44,11,55,77,77,77,66,77,77,66,44,55,77,66,77,77,66,77,66,55,77,77,33,66
89,36,5,17,7,52,31,43,22,22,33,44,66,77,77,77,55,22,11,33,66,77,77,44,77,77,55,77,77,77,55,22
89,101,15,60,72,62,74,75,76,77,55,44,66,77,55,33,44,77,77,77,77,44,11,44,33,44,66,33,66,77,77,55
89,90,125,150,141,98,110,77,55,77,77,66,11,33,33,77,55,44,33,22,77,77,77,77,44,33,55,77,77,77,44,66
89,134,37,71,74,53,43,33,44,22,55,77,55,77,77,55,66,11,22,33,55,77,33,11,22,33,22,44,22,33,22,44
89,114,148,127,95,108,32,22,33,66,77,66,77,77,55,33,55,22,11,66,44,55,11,44,33,55,33,55,77,55,77,44
89,79,26,29,20,54,77,77,55,66,77,77,77,44,66,33,22,66,77,44,33,55,22,33,55,77,77,77,55,22,44,33
89,178,147,115,50,73,54,44,22,11,33,22,33,11,44,33,55,66,77,77,66,77,77,77,77,77,77,77,44,66,33,77
89,113,147,126,149,29,41,53,21,33,22,22,44,55,77,66,77,66,77,77,77,66,44,66,77,77,77,55,77,55,33,22
89,112,102,103,93,106,85,43,77,66,77,55,11,44,77,55,22,11,44,55,22,22,33,55,44,33,55,66,77,55,66,44
89,101,92,115,149,106,86,131,99,88,110,121,154,154,77,77,77,77,77,66,77,77,55,77,77,66,33,22,44,66,77,77
89,90,124,148,128,118,130,153,121,132,110,176,286,308,374,363,385,275,242,341,363,308,385,385,363,275,253,363,374,385,385,385
89,113,136,72,42,32,22,44,66,55,33,66,77,44,22,11,66,44,77,55,44,66,33,66,77,77,44,66,77,77,77,44
89,123,146,71,72,62,74,43,33,55,33,55,44,55,22,44,55,66,77,55,66,77,55,33,11,44,22,77,55,33,11,55
89,114,126,72,51,30,20,10,44,66,77,77,66,77,44,11,44,66,44,22,33,55,33,44,77,55,77,44,66,77,77,77
89,91,81,105,95,108,87,110,220,198,110,132,110,55,77,44,55,66,77,77,11,33,22,33,44,55,66,77,66,44,22,55
89,79,103,93,94,96,86,208,220,209,154,132,88,110,154,132,110,143,121,88,132,110,132,154,154,154,154,231,209,154,143,231
89,147,126,138,106,21,33,22,33,44,33,66,11,33,55,77,77,77,55,33,55,22,44,55,66,77,77,77,77,77,66,44
89,81,29,52,75,21,55,66,55,33,22,22,44,66,77,77,55,77,44,77,44,33,44,33,22,44,33,44,66,77,77,55
89,112,70,38,28,18,30,43,55,77,22,55,33,22,11,55,22,22,22,44,55,44,55,66,77,77,77,55,44,77,55,77
89,102,115,128,151,131,154,154,154,143,121,132,110,22,44,33,77,77,77,77,44,33,55,77,66,44,55,66,44,55,66,33
89,91,114,139,152,153,132,143,121,143,154,132,154,132,231,308,308,363,330,341,374,385,385,253,264,330,330,341,330,264,264,242
89,91,37,60,39,64,76,77,77,77,55,66,44,33,44,44,66,44,55,66,77,66,77,66,77,77,55,77,77,55,77,55
89,123,146,114,61,29,52,32,11,44,11,44,77,55,44,33,11,33,55,77,66,44,22,44,22,11,33,66,11,33,11,33
89,79,136,115,149,129,163,274,330,352,385,374,363,374,352,385,352,363,341,330,264,242,253,275,253,264,275,330,418,352,319,330
89,79,104,116,106,87,110,11,22,44,66,44,55,33,22,44,22,44,77,44,22,33,77,55,66,44,55,33,11,33,66,77
89,102,70,71,73,76,77,33,11,44,66,33,22,11,22,33,22,33,11,44,77,44,22,55,77,66,44,66,77,77,77,44
89,79,92,93,128,152,120,132,154,143,132,154,121,143,77,77,66,77,22,33,11,44,66,22,22,22,33,22,33,44,66,55
89,102,60,72,73,74,76,77,44,55,33,11,44,11,33,22,11,22,33,55,44,77,77,44,66,77,11,33,44,55,66,55
89,102,93,94,118,97,109,132,154,231,231,286,385,308,297,308,352,330,264,286,308,363,374,385,297,363,242,264,242,264,286,385
89,112,125,192,303,260,251,241,363,308,297,385,385,308,363,341,363,352,363,352,385,363,374,341,429,429,319,352,264,242,352,385
89,190,181,162,119,131,143,154,154,132,99,99,121,132,110,132,110,132,33,55,77,77,55,66,77,66,11,55,66,77,77,77
89,114,16,7,30,9,32,22,44,66,33,66,77,77,77,77,77,66,55,66,33,22,33,22,33,11,22,33,44,66,77,66
89,90,80,26,60,72,73,53,76,77,77,77,44,22,44,22,11,33,77,55,77,44,66,77,44,77,44,22,22,33,22,44
89,113,147,150,140,75,76,44,11,33,44,77,55,22,55,33,66,33,11,44,33,44,77,77,77,77,77,55,22,55,77,66
89,90,103,126,94,85,108,98,99,110,99,110,88,132,99,22,11,44,66,33,44,33,33,44,11,22,33,22,22,33,11,22
89,101,80,104,127,216,151,152,153,143,154,143,121,99,121,22,22,22,44,77,77,77,66,33,44,55,77,55,77,77,66,55
89,102,137,117,97,131,33,77,55,22,55,66,55,44,22,33,11,77,77,55,33,22,33,22,33,77,77,66,77,77,55,77
89,101,125,138,86,109,99,99,132,143,121,132,154,154,154,154,22,22,33,11,55,44,22,33,77,22,44,66,55,33,66,77
89,178,190,247,260,250,285,253,242,253,242,341,352,253,253,275,297,275,165,209,143,121,143,154,121,99,110,121,132,110,132,220
89,123,135,125,225,204,183,173,130,87,99,132,33,55,66,55,33,44,77,66,33,55,66,44,66,44,66,77,77,77,77,77
89,79,114,127,106,173,196,219,187,209,253,319,341,374,385,352,363,341,341,319,253,264,330,374,275,341,319,418,352,374,385,308
89,123,146,147,137,116,128,108,98,110,88,99,132,110,132,154,77,77,77,55,44,33,44,77,55,33,44,77,77,55,77,44
89,79,102,125,115,138,150,152,54,66,77,77,77,44,55,77,66,77,44,22,22,44,66,77,77,66,55,22,66,77,44,77
89,79,102,136,72,73,74,75,76,55,33,22,44,22,22,44,66,55,22,11,33,77,33,66,77,77,55,77,77,44,33,22
89,101,136,105,130,153,132,121,66,33,44,33,77,66,44,33,22,55,33,11,33,11,44,33,22,44,33,55,33,33,11,33
89,113,104,128,140,152,142,132,110,132,143,154,154,143,132,110,99,88,110,121,154,154,99,132,110,99,154,77,77,55,66,77
89,13,14,15,5,17,18,31,10,33,33,22,33,11,77,66,77,77,44,11,22,55,11,33,11,22,22,77,44,66,55,66
89,145,146,136,149,150,8,32,11,33,22,66,55,44,77,66,44,33,11,22,22,22,55,77,77,55,33,55,77,66,77,44
89,136,93,105,140,152,153,154,143,121,154,143,121,143,66,33,22,22,22,44,11,66,55,22,44,33,11,33,77,77,55,77
89,102,191,291,359,261,285,319,275,264,297,275,220,231,209,154,132,77,77,55,44,33,44,22,44,33,44,33,22,33,22,33
89,123,91,114,127,63,75,65,55,77,55,44,22,44,11,44,22,22,44,66,44,22,22,33,77,77,77,33,44,66,77,77
89,79,135,125,115,83,118,108,87,99,121,110,132,110,132,22,22,22,11,33,22,44,33,44,66,55,44,22,44,77,66,55
89,80,92,104,138,150,130,109,121,154,154,110,132,154,154,121,110,88,110,154,154,154,132,121,77,55,22,33,44,44,22,77
89,113,92,62,41,10,22,11,22,77,77,77,77,77,77,77,77,33,44,66,55,33,66,44,55,77,77,77,55,33,11,33
89,112,102,94,41,32,44,55,33,33,11,66,22,11,33,55,44,11,22,55,33,33,22,22,33,55,77,77,77,33,55,22
89,167,234,268,302,303,284,263,253,352,374,385,385,363,374,385,330,330,341,374,352,374,308,297,363,352,330,341,363,385,363,374
89,102,5,29,52,20,21,44,22,33,44,33,22,44,66,77,77,55,77,66,77,77,55,77,77,55,77,77,77,77,33,11
89,92,115,215,260,272,251,241,275,209,143,154,154,143,121,143,154,154,143,121,99,110,99,198,297,264,363,385,363,341,363,341
89,102,92,104,216,195,306,384,374,385,385,363,341,363,264,286,242,308,385,385,385,385,363,297,275,253,242,264,242,264,275,264
